id,year,authors,title
65,1987,"Stephen Jose Hanson, David J. Burr",Minkowski-r Back-Propagation: Learning in Connectionist Models with Non-Euclidian Error Signals
66,1987,"Pierre Baldi, Santosh S. Venkatesh",On Properties of Networks of Neuron-Like Elements
67,1987,Fernando J. Pineda,Generalization of Back propagation to Recurrent and Higher Order Neural Networks
68,1987,James C. Houk,Schema for Motor Control Utilizing a Network Model of the Cerebellum
69,1987,"Andreas Stafylopatis, Marios D. Dikaiakos, D. Kontoravdis",Spatial Organization of Neural Networks: A Probabilistic Modeling Approach
70,1987,"Jehoshua Bruck, Joseph W. Goodman",On the Power of Neural Networks for Solving Hard Problems
71,1987,"William Baxter, Bruce Dow",Centric Models of the Orientation Map in Primary Visual Cortex
72,1987,"Mark Derthick, Joe Tebelskis",Ensemble' Boltzmann Units have Collective Computational Properties like those of Hopfield and Tank Neurons
73,1987,"Amir Dembo, Ofer Zeitouni",HIGH DENSITY ASSOCIATIVE MEMORIES
74,1987,"Guo-Zheng Sun, Yee-Chun Lee, Hsing-Hen Chen",A Novel Net that Learns Sequential Decision Process
75,1987,Richard M. Golden,Probabilistic Characterization of Neural Model Computations
76,1987,"W. Scott Stornetta, Tad Hogg, Bernardo A. Huberman",A Dynamical Approach to Temporal Pattern Processing
77,1987,"Robert J. Marks II, Les E. Atlas, Seho Oh, James A. Ritcey",The Performance of Convex Set Projection Based Neural Networks
78,1987,"Geoffrey E. Hinton, James L. McClelland",Learning Representations by Recirculation
79,1987,Richard C. Windecker,Learning in Networks of Nondeterministic Adaptive Logic Elements
80,1987,"Joshua Alspector, Robert B. Allen, Victor Hu, Srinagesh Satyanarayana",Stochastic Learning Networks and their Electronic Implementation
81,1987,"Harry Wechsler, George Lee Zimmerman",Invariant Object Recognition Using a Distributed Associative Memory
82,1987,Lyle J. Borg-Graham,Simulations Suggest Information Processing Roles for the Diverse Currents in Hippocampal Neurons
83,1987,J. Bernasconi,Analysis and Comparison of Different Learning Algorithms for Pattern Association Problems
84,1987,L. Richard Carley,Presynaptic Neural Information Processing
85,1987,"Ben S. Wittner, John S. Denker",Strategies for Teaching Layered Networks Classification Tasks
86,1987,"D. Lehmann, D. Brandeis, A. Horst, H. Ozaki, I. Pal",SPONTANEOUS AND  INFORMATION-TRIGGERED SEGMENTS OF SERIES OF HUMAN BRAIN ELECTRIC FIELD MAPS
87,1987,"G?rard Dreyfus, Isabelle Guyon, Jean-Pierre Nadal, L?on Personnaz",High Order Neural Networks for Efficient Associative Memory Design
88,1987,David J. Burr,Speech Recognition Experiments with Perceptrons
89,1987,Nathan H. Brown Jr.,Neural Network Implementation Approaches for the Connection Machine
90,1987,Andr? J. Noest,Phasor Neural Networks
91,1987,"Ronald Rosenfeld, David S. Touretzky",Scaling Properties of Coarse-Coded Symbol Memories
92,1987,Bartlett W. Mel,MURPHY: A Robot that Learns by Doing
93,1988,"Norberto M. Grzywacz, Franklin R. Amthor",A Computationally Robust Anatomical Model for Retinal Directional Selectivity
94,1988,"David B. Parker, Mark Gluck, Eric S. Reifsnider",Learning with Temporal Derivatives in Pulse-Coded Neuronal Systems
95,1988,Dean A. Pomerleau,ALVINN: An Autonomous Land Vehicle in a Neural Network
97,1988,"Allen M. Waxman, Michael Seibert, Robert K. Cunningham, Jian Wu",Neural Analog Diffusion-Enhancement Layer and Spatio-Temporal Grouping in Early Vision
98,1988,James Hendler,Spreading Activation over Distributed Microfeatures
99,1988,"Bahram Nabet, Robert B. Darling, Robert B. Pinter",Analog Implementation of Shunting Neural Networks
100,1988,"Patric K. Stanton, Terrence J. Sejnowski",Storing Covariance by the Associative Long-Term Potentiation and Depression of Synaptic Strengths in the Hippocampus
101,1988,"Sharad Singhal, Lance Wu",Training Multilayer Perceptrons with the Extended Kalman Algorithm
102,1988,Ralph Linsker,An Application of the Principle of Maximum Information Preservation to Linear Systems
103,1988,C. L. Winter,An Adaptive Network That Learns Sequences of Transitions
104,1988,"Nigel M. Allinson, Martin J. Johnson, Kevin J. Moon",Digital Realisation of Self-Organising Maps
105,1988,"Timothy S. Wilkinson, Dorothy A. Mighell, Joseph W. Goodman",Backpropagation and Its Application to Handwritten Signature Verification
106,1988,"Mark A. Gluck, M. Pavel, Van Henkle",Constraints on Adaptive Networks for Modeling Human Generalization
107,1988,"John S. Denker, W. R. Gardner, Hans Peter Graf, Donnie Henderson, R. E. Howard, W. Hubbard, L. D. Jackel, Henry S. Baird, Isabelle Guyon",Neural Network Recognizer for Hand-Written Zip Code Digits
108,1988,"Eric Mjolsness, Gene Gindi, P. Anandan",Neural Networks for Model Matching and Perceptual Organization
109,1988,"Hong C. Leung, Victor W. Zue",Applications of Error Back-Propagation to Phonetic Classification
110,1988,"Daniel B. Schwartz, R. E. Howard, Wayne E. Hubbard",Adaptive Neural Networks Using MOS Charge Storage
111,1988,"Charles M. Marcus, R. M. Westervelt",Dynamics of Analog Neural Networks with Time Delay
112,1988,John P. Miller,Cricket Wind Detection
113,1988,"Yoshua Bengio, R?gis Cardin, Renato de Mori, Piero Cosi",Use of Multi-Layered Networks for Coding Speech with Phonetic Features
114,1988,Jordan B. Pollack,Implications of Recursive Distributed Representations
