id,year,authors,title
1464,1997,"Jo?o F. G. de Freitas, Mahesan Niranjan, Andrew H. Gee",Regularisation in Sequential Learning Algorithms
1465,1997,Stephan Pareigis,Adaptive Choice of Grid and Time in Reinforcement Learning
1466,1997,"Ricardo Vig?rio, Veikko Jousm?ki, Matti H?m?l?inen, Riitta Hari, Erkki Oja",Independent Component Analysis for Identification of Artifacts in Magnetoencephalographic Recordings
1467,1997,"Brendan J. Frey, David J. C. MacKay",A Revolution: Belief Propagation in Graphs with Cycles
1468,1997,"Thomas K. Landauer, Darrell Laham, Peter W. Foltz",Learning Human-like Knowledge by Singular Value Decomposition: A Progress Report
1469,1997,"Michael C. Mozer, Mark Sitton, Martha J. Farah",A Superadditive-Impairment Theory of Optic Aphasia
1470,1997,"Randall R. Spangler, Rodney M. Goodman, Jim Hawkins",Bach in a Box - Real-Time Harmony
1471,1997,"Laurent Itti, Jochen Braun, Dale K. Lee, Christof Koch",A Model of Early Visual Processing
1472,1997,"Zoubin Ghahramani, Geoffrey E. Hinton",Hierarchical Non-linear Factor Analysis and Topographic Maps
1473,1997,"Adam J. Grove, Dan Roth",Linear Concepts and Hidden Variables: An Empirical Study
1474,1997,"Nuno Vasconcelos, Andrew Lippman",Multiresolution Tangent Distance for Affine-invariant Classification
1475,1997,Ron Meir,Structural Risk Minimization for Nonparametric Time Series Prediction
1476,1997,Christopher G. Atkeson,Nonparametric Model-Based Reinforcement Learning
1477,1997,"Amit Manwani, Christof Koch",Synaptic Transmission: An Information-Theoretic Perspective
1478,1997,"Jyrki Kivinen, Manfred K. Warmuth",Relative Loss Bounds for Multidimensional Regression Problems
1479,1997,"Marcus Held, Joachim M. Buhmann",Unsupervised On-line Learning of Decision Trees for Hierarchical Data Analysis
1480,1997,"David Barber, Christopher M. Bishop",Ensemble Learning for Multi-Layer Networks
1481,1997,"Gareth James, Trevor Hastie",The Error Coding and Substitution PaCTs
1482,1998,Michael C. Mozer,A Principle for Unsupervised Hierarchical Decomposition of Visual Scenes
1483,1998,"Grace Wahba, Xiwu Lin, Fangyu Gao, Dong Xiang, Ronald Klein, Barbara Klein",The Bias-Variance Tradeoff and the Randomized GACV
1484,1998,"Benoit Huet, Andrew D. J. Cross, Edwin R. Hancock",Graph Matching for Shape Retrieval
1485,1998,"Nello Cristianini, Colin Campbell, John Shawe-Taylor",Dynamically Adapting Kernels in Support Vector Machines
1486,1998,"Nikhil Bhushan, Reza Shadmehr",Evidence for a Forward Dynamics Model in Human Adaptive Motor Control
1487,1998,"Nobuo Suematsu, Akira Hayashi",A Reinforcement Learning Algorithm in Partially Observable Environments Using Short-Term Memory
1488,1998,"G. Bjorn Christianson, Suzanna Becker",A Model for Associative Multiplication
1489,1998,"John G. Harris, Chiang-Jung Pu, Jos? Carlos Pr?ncipe",A Neuromorphic Monaural Sound Localizer
1490,1998,Andrew W. Moore,Very Fast EM-Based Mixture Model Clustering Using Multiresolution Kd-Trees
1491,1998,"Sebastian Mika, Bernhard Sch?lkopf, Alex J. Smola, Klaus-Robert M?ller, Matthias Scholz, Gunnar R?tsch",Kernel PCA and De-Noising in Feature Spaces
1492,1998,"Akira Hayashi, Nobuo Suematsu",Viewing Classifier Systems as Model Free Learning in POMDPs
1493,1998,"Dmitry Rinberg, Hanan Davidowitz, Naftali Tishby",Multi-Electrode Spike Sorting by Clustering Transfer Functions
1494,1998,"Pierre Baraduc, Emmanuel Guigon, Yves Burnod",Where Does the Population Vector of Motor Cortical Cells Point during Reaching Movements?
1495,1998,"Ping Zhou, Jim Austin, John Kennedy",A High Performance k-NN Classifier Using a Binary Correlation Matrix Memory
1496,1998,"Eimei Oyama, Susumu Tachi",Coordinate Transformation Learning of Hand Position Feedback Controller by Using Change of Position Error Norm
1497,1998,"Giancarlo Ferrari-Trecate, Christopher K. I. Williams, Manfred Opper",Finite-Dimensional Approximation of Gaussian Processes
1498,1998,Shumeet Baluja,Making Templates Rotationally Invariant. An Application to Rotated Digit Recognition
1499,1998,"Ralph Etienne-Cummings, Viktor Gruev, Mohammed Abdel Ghani",VLSI Implementation of Motion Centroid Localization for Autonomous Navigation
1500,1998,"Yves Grandvalet, St?phane Canu",Outcomes of the Equivalence of Adaptive Ridge with Least Absolute Shrinkage
1501,1998,Peter Sollich,Learning Curves for Gaussian Processes
1502,1998,"Dan Cornford, Ian T. Nabney, Christopher K. I. Williams",Adding Constrained Discontinuities to Gaussian Process Models of Wind Fields
1503,1998,"Thomas Hofmann, Jan Puzicha, Michael I. Jordan",Learning from Dyadic Data
1504,1998,Trevor Darrell,Example-Based Image Synthesis of Articulated Figures
1505,1998,"Jaakko Hollm?n, Volker Tresp",Call-Based Fraud Detection in Mobile Communication Networks Using a Hierarchical Regime-Switching Model
1506,1998,"Clay Spence, Paul Sajda",Applications of Multi-Resolution Neural Networks to Mammography
1507,1998,"Mauro Birattari, Gianluca Bontempi, Hugues Bersini",Lazy Learning Meets the Recursive Least Squares Algorithm
1508,1998,"Lawrence K. Saul, Mazin G. Rahim",Markov Processes on Curves for Automatic Speech Recognition
1509,1998,"John K. Williams, Satinder P. Singh",Experimental Results on Learning Stochastic Memoryless Policies for Partially Observable Markov Decision Processes
1510,1998,"Hyoungsoo Yoon, Haim Sompolinsky",The Effect of Correlations on the Fisher Information of Population Codes
1511,1998,"Andrew Blake, Ben North, Michael Isard",Learning Multi-Class Dynamics
1512,1998,Marcello Pelillo,"Replicator Equations, Maximal Cliques, and Graph Isomorphism"
1513,1998,"Alan L. Yuille, James M. Coughlan",Convergence Rates of Algorithms for Visual Search: Detecting Visual Contours
1514,1998,"Michael S. Lewicki, Terrence J. Sejnowski","Coding Time-Varying Signals Using Sparse, Shift-Invariant Representations"
1515,1998,"Peter L. Bartlett, Vitaly Maiorov, Ron Meir",Almost Linear VC Dimension Bounds for Piecewise Polynomial Networks
1516,1998,"Ravi K. Sharma, Todd K. Leen, Misha Pavel",Probabilistic Image Sensor Fusion
1517,1998,"Ron Meir, Vitaly Maiorov",On the Optimality of Incremental Neural Network Algorithms
1518,1998,"P?ter Adorj?n, Klaus Obermayer",Contrast Adaptation in Simple Cells by Changing the Transmitter Release Probability
1519,1998,"Christoph Neukirchen, Gerhard Rigoll",Controlling the Complexity of HMM Systems by Regularization
1520,1998,"Tommi Jaakkola, David Haussler",Exploiting Generative Models in Discriminative Classifiers
1521,1998,"Naonori Ueda, Ryohei Nakano, Zoubin Ghahramani, Geoffrey E. Hinton",SMEM Algorithm for Mixture Models
1522,1998,Matthew Brand,An Entropic Estimator for Structure Discovery
1523,1998,"Grigoris I. Karakoulas, John Shawe-Taylor",Optimizing Classifers for Imbalanced Training Sets
1525,1998,"Yoram Singer, Manfred K. Warmuth",Batch and On-Line Parameter Estimation of Gaussian Mixtures Based on the Joint Entropy
1526,1998,"Frances S. Chance, Sacha B. Nelson, L. F. Abbott",Recurrent Cortical Amplification Produces Complex Cell Responses
1527,1998,"Matthew N. Dailey, Garrison W. Cottrell, Thomas A. Busey",Facial Memory Is Kernel Density Estimation (Almost)
1528,1998,"Karvel K. Thornber, Lance R. Williams","Orientation, Scale, and Discontinuity as Emergent Properties of Illusory Contour Shape"
1529,1998,"Friedrich Leisch, Adrian Trapletti, Kurt Hornik",Stationarity and Stability of Autoregressive Neural Network Processes
1530,1998,"Wolfgang Maass, Eduardo D. Sontag",A Precise Characterization of the Class of Languages Recognized by Neural Nets under Gaussian and Other Common Noise Distributions
1531,1998,"Michael J. Kearns, Satinder P. Singh",Finite-Sample Convergence Rates for Q-Learning and Indirect Algorithms
1532,1998,"Manfred Opper, Ole Winther",Mean Field Methods for Classification with Gaussian Processes
1533,1998,"Eero P. Simoncelli, Odelia Schwartz",Modeling Surround Suppression in V1 Neurons with a Statistically Derived Normalization Model
1534,1998,"Gert Cauwenberghs, James Waskiewicz",Analog VLSI Cellular Implementation of the Boundary Contour System
1535,1998,"Christopher K. I. Williams, Nicholas J. Adams",DTs: Dynamic Trees
1536,1998,"Sophie Den?ve, Alexandre Pouget, Peter E. Latham","Divisive Normalization, Line Attractor Networks and Ideal Observers"
1537,1998,"Tony Jebara, Alex Pentland",Maximum Conditional Likelihood via Bound Maximization and the CEM Algorithm
1538,1998,"Matthew M. Williamson, Roderick Murray-Smith, Volker Hansen",Robot Docking Using Mixtures of Gaussians
1539,1998,"Thomas Briegel, Volker Tresp",Fisher Scoring and a Mixture of Modes Approach for Approximate Inference and Learning in Nonlinear State Space Models
1540,1998,Ruth Rosenholtz,General-Purpose Localization of Textured Image Regions
1541,1998,"Jung-Wook Cho, Soo-Young Lee",Active Noise Canceling Using Analog Neuro-Chip with On-Chip Learning Capability
1542,1998,Joshua B. Tenenbaum,Bayesian Modeling of Human Concept Learning
1543,1998,"Nuno Vasconcelos, Andrew Lippman",Learning Mixture Hierarchies
1544,1998,"Alan D. Marrs, Andrew R. Webb",Exploratory Data Analysis Using Radial Basis Function Latent Variable Models
1545,1998,"Klaus Prank, Julia B?rger, Alexander von zur M?hlen, Georg Brabant, Christof Sch?fl",Independent Component Analysis of Intracellular Calcium Spike Data
1546,1998,"Gideon Dror, Halina Abramowicz, David Horn",Vertex Identification in High Energy Physics Experiments
1547,1998,"Laurent Itti, Jochen Braun, Dale K. Lee, Christof Koch",Attentional Modulation of Human Pattern Discrimination Psychophysics Reproduced by a Quantitative Model
1548,1998,"Eric Granger, Stephen Grossberg, Mark A. Rubin, William W. Streilein",Familiarity Discrimination of Radar Pulses
1549,1998,Christopher M. Bishop,Bayesian PCA
1550,1998,"Mohammad A. Al-Ansari, Ronald J. Williams","Robust, Efficient, Globally-Optimized Reinforcement Learning with the Parti-Game Algorithm"
1551,1998,"John E. Moody, Matthew Saffell",Reinforcement Learning for Trading
1552,1998,"Marcus Held, Jan Puzicha, Joachim M. Buhmann",Visualizing Group Structure
1553,1998,"Llew Mason, Peter L. Bartlett, Jonathan Baxter",Direct Optimization of Margins Improves Generalization in Combined Classifiers
1554,1998,"Gal Chechik, Isaac Meilijson, Eytan Ruppin",Neuronal Regulation Implements Efficient Synaptic Pruning
1555,1998,"Alan A. Stocker, Rodney J. Douglas",Computation of Smooth Optical Flow in a Feedback Connected Analog Network
1556,1998,"Richard S. Zemel, Peter Dayan",Distributional Population Codes and Multiple Motion Models
1557,1998,"Amy McGovern, J. Eliot B. Moss",Scheduling Straight-Line Code Using Reinforcement Learning and Rollouts
1558,1998,"Richard Coggins, Raymond J. Wang, Marwan A. Jabri",A Micropower CMOS Adaptive Amplitude and Shift Invariant Vector Quantiser
1559,1998,"Zhaoping Li, Peter Dayan",Computational Differences between Asymmetrical and Symmetrical Networks
1560,1998,"Nuria Oliver, Barbara Rosario, Alex Pentland",Graphical Models for Recognizing Human Interactions
1561,1998,Michael E. Tipping,Probabilistic Visualisation of High-Dimensional Binary Data
1562,1998,"Radek Grzeszczuk, Demetri Terzopoulos, Geoffrey E. Hinton",Fast Neural Network Emulation of Dynamical Systems for Computer Animation
1563,1998,"Bernhard Sch?lkopf, Peter L. Bartlett, Alex J. Smola, Robert C. Williamson",Shrinking the Tube: A New Support Vector Regression Algorithm
1564,1998,"Michael J. Kearns, Lawrence K. Saul",Inference in Multilayer Networks via Large Deviation Bounds
1565,1998,"R?mi Munos, Andrew W. Moore",Barycentric Interpolators for Continuous Space and Time Reinforcement Learning
1567,1998,Shumeet Baluja,Probabilistic Modeling for Face Orientation Discrimination: Learning from Labeled and Unlabeled Data
1568,1998,"Liqing Zhang, Andrzej Cichocki",Blind Separation of Filtered Sources Using State-Space Approach
1569,1998,"N. S. Skantzos, C. F. Beckmann, Anthony C. C. Coolen",Discontinuous Recall Transitions Induced by Competition Between Short- and Long-Range Interactions in Recurrent Networks
1570,1998,"Yoshiyuki Kabashima, David Saad",The Belief in TAP
1571,1998,"Thore Graepel, Ralf Herbrich, Peter Bollmann-Sdorra, Klaus Obermayer",Classification on Pairwise Proximity Data
1572,1998,"Martin Stemmler, Christof Koch",Information Maximization in Single Neurons
1573,1998,"Robert Moll, Andrew G. Barto, Theodore J. Perkins, Richard S. Sutton",Learning Instance-Independent Value Functions to Enhance Local Search
1574,1998,"Tzyy-Ping Jung, Scott Makeig, Marissa Westerfield, Jeanne Townsend, Eric Courchesne, Terrence J. Sejnowski",Analyzing and Visualizing Single-Trial Event-Related Potentials
1575,1998,"Alex J. Smola, Thilo-Thomas Frie?, Bernhard Sch?lkopf",Semiparametric Support Vector and Linear Programming Machines
1576,1998,"Leemon C. Baird III, Andrew W. Moore",Gradient Descent for General Reinforcement Learning
1577,1998,John C. Platt,Using Analytic QP and Sparseness to Speed Training of Support Vector Machines
1578,1998,"Anthony C. C. Coolen, David Saad",Dynamics of Supervised Learning with Restricted Training Sets
1579,1998,"Francesco Vivarelli, Christopher K. I. Williams",Discovering Hidden Features with Gaussian Processes Regression
1580,1998,"Daniel D. Lee, Haim Sompolinsky",Learning a Continuous Hidden Variable Model for Binary Data
1581,1998,"Daphna Weinshall, David W. Jacobs, Yoram Gdalyahu",Classification in Non-Metric Spaces
1582,1998,"Kristin P. Bennett, Ayhan Demiriz",Semi-Supervised Support Vector Machines
1583,1998,"Ralph Neuneier, Oliver Mihatsch",Risk Sensitive Reinforcement Learning
1584,1998,"Rajesh P. N. Rao, Daniel L. Ruderman",Learning Lie Groups for Invariant Visual Perception
1585,1998,"Masahiko Haruno, Daniel M. Wolpert, Mitsuo Kawato",Multiple Paired Forward-Inverse Models for Human Motor Learning and Control
1586,1998,Jette Randlov,Learning Macro-Actions in Reinforcement Learning
1587,1998,"A. D?ring, Anthony C. C. Coolen, D. Sherrington",Phase Diagram and Storage Capacity of Sequence-Storing Neural Networks
1588,1998,"Xavier Boyen, Daphne Koller",Approximate Learning of Dynamic Models
1589,1998,"Ke Chen, DeLiang L. Wang",Perceiving without Learning: From Spirals to Inside/Outside Relations
1590,1998,"Baback Moghaddam, Tony Jebara, Alex Pentland",Bayesian Modeling of Facial Similarity
1591,1998,"David Wolpert, Kagan Tumer, Jeremy Frank",Using Collective Intelligence to Route Internet Traffic
1592,1998,"Te-Won Lee, Michael S. Lewicki, Terrence J. Sejnowski",Unsupervised Classification with Non-Gaussian Mixture Models Using ICA
1593,1998,"Yoram Gdalyahu, Daphna Weinshall, Michael Werman",A Randomized Algorithm for Pairwise Clustering
1594,1998,"Zoubin Ghahramani, Sam T. Roweis",Learning Nonlinear Dynamical Systems Using an EM Algorithm
1596,1998,"Sergey Ioffe, David A. Forsyth",Learning to Find Pictures of People
1597,1998,"Charles Lee Isbell Jr., Paul A. Viola",Restructuring Sparse High Dimensional Data for Effective Retrieval
1598,1998,"Jo?o F. G. de Freitas, Mahesan Niranjan, Arnaud Doucet, Andrew H. Gee",Global Optimisation of Neural Network Models via Sequential Sampling
1599,1998,"Timothy X. Brown, Hui Tong, Satinder P. Singh",Optimizing Admission Control while Ensuring Quality of Service in Multimedia Networks via Reinforcement Learning
1600,1998,"Lyndon J. Brown, Gregory E. Gonye, James S. Schwaber",Non-Linear PI Control Inspired by Biological Control Systems
1601,1998,"Christian Piepenbrock, Klaus Obermayer",The Role of Lateral Cortical Competition in Ocular Dominance Development
1602,1998,"Patrice Simard, L?on Bottou, Patrick Haffner, Yann LeCun",Boxlets: A Fast Convolution Algorithm for Signal Processing and Neural Networks
1603,1998,John Loch,The Effect of Eligibility Traces on Finding Optimal Memoryless Policies in Partially Observable Markov Decision Processes
1604,1998,Toshiyuki Tanaka,A Theory of Mean Field Approximation
1605,1998,Akito Sakurai,Tight Bounds for the VC-Dimension of Piecewise Polynomial Networks
1606,1998,"H. C. Rae, Peter Sollich, Anthony C. C. Coolen",On-Line Learning with Restricted Training Sets: Exact Solution as Benchmark for General Theories
1607,1998,"Richard S. Sutton, Satinder P. Singh, Doina Precup, Balaraman Ravindran",Improved Switching among Temporally Abstract Actions
1608,1998,Sven Koenig,Exploring Unknown Environments with Real-Time Search or Reinforcement Learning
1609,1998,P. Jonathon Phillips,Support Vector Machines Applied to Face Recognition
1610,1998,"Claudio Gentile, Manfred K. Warmuth",Linear Hinge Loss and Average Margin
1611,1998,"Itay Gat, Naftali Tishby",Synergy and Redundancy among Brain Cells of Behaving Monkeys
1612,1998,"Aapo Hyv?rinen, Patrik O. Hoyer, Erkki Oja",Sparse Code Shrinkage: Denoising by Nonlinear Maximum Likelihood Estimation
1613,1998,"Charles M. Higgins, Christof Koch",An Integrated Vision Sensor for the Computation of Optical Flow Singular Points
1614,1998,"Masa-aki Sato, Shin Ishii",Reinforcement Learning Based on On-Line EM Algorithm
1615,1998,"Gunnar R?tsch, Takashi Onoda, Klaus R. M?ller",Regularizing AdaBoost
1616,1998,"Nir Friedman, Yoram Singer",Efficient Bayesian Parameter Estimation in Large Discrete Domains
1617,1998,"David Barber, Wim Wiegerinck",Tractable Variational Structures for Approximating Graphical Models
1618,1998,Zhaoping Li,A V1 Model of Pop Out and Asymmetty in Visual Search
1619,1998,"Sepp Hochreiter, J?rgen Schmidhuber",Source Separation as a By-Product of Regularization
1620,1998,"L. F. Abbott, Sen Song","Temporally Asymmetric Hebbian Learning, Spike liming and Neural Response Variability"
1621,1998,"R. Timothy Edwards, Gert Cauwenberghs, Fernando J. Pineda",Optimizing Correlation Algorithms for Hardware-Based Transient Classification
1622,1998,"Manfred Opper, Francesco Vivarelli",General Bounds on Bayes Errors for Regression with Gaussian Processes
1623,1998,"Kevin R. Wheeler, Atam P. Dhawan",Basis Selection for Wavelet Regression
1624,1998,"Malik Magdon-Ismail, Amir F. Atiya",Neural Networks for Density Estimation
1625,1998,"Didier Herschkowitz, Jean-Pierre Nadal",Unsupervised and Supervised Clustering: The Mutual Information between Parameters and Observations
1626,1998,"James M. Coughlan, Alan L. Yuille",A Phase Space Approach to Minimax Entropy Learning and the Minutemax Approximations
1627,1998,"Bal?zs K?gl, Adam Krzyzak, Tam?s Linder, Kenneth Zeger",A Polygonal Line Algorithm for Constructing Principal Curves
1628,1998,Bradley C. Love,Utilizing lime: Asynchronous Binding
1629,1998,"William T. Freeman, Egon C. Pasztor",Learning to Estimate Scenes from Images
1630,1998,"Zili Liu, Daphna Weinshall",Mechanisms of Generalization in Perceptual Learning
1631,1998,Hagai Attias,Learning a Hierarchical Belief Network of Independent Factor Analyzers
1632,1998,"Shiro Ikeda, Shun-ichi Amari, Hiroyuki Nakahara",Convergence of the Wake-Sleep Algorithm
1633,1998,"Amit Manwani, Christof Koch",Signal Detection in Noisy Weakly-Active Dendrites
1634,1998,"David A. Nix, John E. Hogden",Maximum-Likelihood Continuity Mapping (MALCOM): An Alternative to HMMs
1635,1998,"Richard Kempter, Wulfram Gerstner, J. Leo van Hemmen",Spike-Based Compared to Rate-Based Hebbian Learning
1636,1999,Wolfgang Maass,Neural Computation with Winner-Take-All as the Only Nonlinear Operation
1637,1999,"Pedro A. d. F. R. H?jen-S?rensen, Lars Kai Hansen, Carl Edward Rasmussen",Bayesian Modelling of fMRI lime Series
1638,1999,"Oliver Landolt, Steve Gyger",An Oculo-Motor System with Multi-Chip Neuromorphic Analog VLSI Control
1639,1999,"Daniel D. Lee, Uri Rokni, Haim Sompolinsky",Algorithms for Independent Components Analysis and Higher Order Statistics
1640,1999,"Andrew Y. Ng, Michael I. Jordan",Approximate Inference A lgorithms for Two-Layer Bayesian Networks
1641,1999,"Yair Weiss, William T. Freeman",Correctness of Belief Propagation in Gaussian Graphical Models of Arbitrary Topology
1642,1999,"Rembrandt Bakker, Jaap C. Schouten, Marc-Olivier Coppens, Floris Takens, C. Lee Giles, Cor M. van den Bleek",Robust Learning of Chaotic Attractors
1643,1999,"David Barber, Peter Sollich",Gaussian Fields for Approximate Inference in Layered Sigmoid Belief Networks
1644,1999,"Shivakumar Vaithyanathan, Byron Dom",Generalized Model Selection for Unsupervised Learning in High Dimensions
1645,1999,Peter Sykacek,On Input Selection with Reversible Jump Markov Chain Monte Carlo Sampling
1646,1999,"Panayiota Poirazi, Bartlett W. Mel",Memory Capacity of Linear vs. Nonlinear Models of Dendritic Integration
1647,1999,"Tai Sing Lee, Stella X. Yu",An Information-Theoretic Framework for Understanding Saccadic Eye Movements
1648,1999,"Nicol N. Schraudolph, Xavier Giannakopoulos",Online Independent Component Analysis with Local Learning Rate Adaptation
1649,1999,Brendan J. Frey,Local Probability Propagation for Factor Analysis
1650,1999,Christopher K. I. Williams,A MCMC Approach to Hierarchical Mixture Modelling
1651,1999,"Noam Slonim, Naftali Tishby",Agglomerative Information Bottleneck
1652,1999,"Vladimir Vapnik, Sayan Mukherjee",Support Vector Method for Multivariate Density Estimation
1653,1999,"Liqing Zhang, Shun-ichi Amari, Andrzej Cichocki",Semiparametric Approach to Multichannel Blind Deconvolution of Nonminimum Phase Systems
1654,1999,Thomas Hofmann,Learning the Similarity of Documents: An Information-Geometric Approach to Document Retrieval and Categorization
1655,1999,"Howard Hua Yang, Hynek Hermansky",Search for Information Bearing Components in Speech
1656,1999,"Toru Ohira, Yuzuru Sato, Jack D. Cowan",Resonance in a Stochastic Neuron Model with Delayed Interaction
1657,1999,"Elad Schneidman, Idan Segev, Naftali Tishby",Information Capacity and Robustness of Stochastic Neuron Models
1658,1999,"Xiaohui Xie, H. Sebastian Seung",Spike-based Learning Rules and Stabilization of Persistent Neural Activity
1659,1999,"Yishay Mansour, David A. McAllester",Boosting with Multi-Way Branching in Decision Trees
1660,1999,Miguel ?. Carreira-Perpi??n,Reconstruction of Sequential Data with Probabilistic Models and Continuity Constraints
1661,1999,"Claude Nadeau, Yoshua Bengio",Inference for the Generalization Error
1662,1999,"Holger Schoner, Martin Stetter, Ingo Schie?l, John E. W. Mayhew, Jennifer S. Lund, Niall McLoughlin, Klaus Obermayer",Application of Blind Separation of Sources to Optical Recording of Brain Activity
1663,1999,"Olivier Chapelle, Vladimir Vapnik",Model Selection for Support Vector Machines
1664,1999,"Michael J. Kearns, Yishay Mansour, Andrew Y. Ng",Approximate Planning in Large POMDPs via Reusable Trajectories
1665,1999,"Samuel P. M. Choi, Dit-Yan Yeung, Nevin Lianwen Zhang",An Environment Model for Nonstationary Reinforcement Learning
1666,1999,Joshua B. Tenenbaum,Rules and Similarity in Concept Learning
1667,1999,"Andres C. Rodriguez, Ronald Parr, Daphne Koller",Reinforcement Learning Using Approximate Belief States
1668,1999,"Bruno A. Olshausen, K. Jarrod Millman",Learning Sparse Codes with a Mixture-of-Gaussians Prior
1669,1999,"Guy J. Brown, DeLiang L. Wang",An Oscillatory Correlation Frame work for Computational Auditory Scene Analysis
1670,1999,"Aapo Hyv?rinen, Patrik O. Hoyer",Emergence of Topography and Complex Cell Properties from Natural Images using Extensions of ICA
1671,1999,"Masashi Sugiyama, Hidemitsu Ogawa",Training Data Selection for Optimal Generalization in Trigonometric Polynomial Networks
1672,1999,"Zoubin Ghahramani, Matthew J. Beal",Variational Inference for Bayesian Mixtures of Factor Analysers
1673,1999,"Jonathan Q. Li, Andrew R. Barron",Mixture Density Estimation
1674,1999,"Joachim M. Buhmann, Marcus Held",Model Selection in Clustering by Uniform Convergence Bounds
1675,1999,"Xubo B. Song, Joseph Sill, Yaser S. Abu-Mostafa, Harvey Kasdan",Image Recognition in Context: Application to Microscopic Urinalysis
1676,1999,"P?ter Adorj?n, Lars Schwabe, Christian Piepenbrock, Klaus Obermayer",Recurrent Cortical Competition: Strengthen or Weaken?
1677,1999,"Alex J. Smola, John Shawe-Taylor, Bernhard Sch?lkopf, Robert C. Williamson",The Entropy Regularization Information Criterion
1678,1999,"Javier R. Movellan, James L. McClelland",Information Factorization in Connectionist Models of Perception
1679,1999,"Yoshua Bengio, Samy Bengio",Modeling High-Dimensional Discrete Data with Multi-Layer Neural Networks
1680,1999,"Justinian P. Rosca, Joseph ? Ruanaidh, Alexander Jourjine, Scott Rickard",Broadband Direction-Of-Arrival Estimation Based on Second Order Statistics
1681,1999,"Eric A. Wan, Rudolph van der Merwe, Alex T. Nelson",Dual Estimation and the Unscented Transformation
1682,1999,Hagai Attias,Independent Factor Analysis with Temporally Structured Sources
1683,1999,"Jessica D. Bayliss, Dana H. Ballard",Recognizing Evoked Potentials in a Virtual Environment
1685,1999,"Dimitris Margaritis, Sebastian Thrun",Bayesian Network Induction via Local Neighborhoods
1686,1999,"John R. Hershey, Javier R. Movellan",Audio Vision: Using Audio-Visual Synchrony to Locate Sounds
1687,1999,"David J. Crisp, Christopher J. C. Burges",A Geometric Interpretation of v-SVM Classifiers
1688,1999,"Shan Parfitt, Peter Ti?o, Georg Dorffner",Graded Grammaticality in Prediction Fractal Machines
1689,1999,Tong Zhang,Some Theoretical Results Concerning the Convergence of Compositions of Regularized Linear Functions
1690,1999,"Girish N. Patel, Gennady S. Cymbalyuk, Ronald L. Calabrese, Stephen P. DeWeerth",Bifurcation Analysis of a Silicon Neuron
1691,1999,Dale Schuurmans,Greedy Importance Sampling
1692,1999,Michael Schmitt,Lower Bounds on the Complexity of Approximating Continuous Functions by Sigmoidal Neural Networks
1693,1999,"Anthony C. C. Coolen, C. W. H. Mace",Dynamics of Supervised Learning with Restricted Training Sets and Noisy Teachers
1694,1999,"Lehel Csat?, Ernest Fokou?, Manfred Opper, Bernhard Schottky, Ole Winther",Efficient Approaches to Gaussian Process Classification
1695,1999,"Richard S. Zemel, Michael C. Mozer",A Generative Model for Attractor Dynamics
1696,1999,"Soo-Young Lee, Michael C. Mozer",Robust Recognition of Noisy and Superimposed Patterns via Selective Attention
1697,1999,"Song Li, K. Y. Michael Wong",Statistical Dynamics of Batch Learning
1698,1999,"Nicholas R. Howe, Michael E. Leventon, William T. Freeman",Bayesian Reconstruction of 3D Human Motion from Single-Camera Video
1699,1999,"Olivier Chapelle, Vladimir Vapnik, Jason Weston",Transductive Inference for Estimating Values of Functions
1700,1999,"Yoshiyuki Kabashima, Tatsuto Murayama, David Saad, Renato Vicente",Regular and Irregular Gallager-zype Error-Correcting Codes
1702,1999,"Gary William Flake, Barak A. Pearlmutter",Differentiating Functions of the Jacobian with Respect to the Weights
1703,1999,"David Horn, Nir Levy, Isaac Meilijson, Eytan Ruppin",Distributed Synchrony of Spiking Neurons in a Hebbian Cell Assembly
1704,1999,"Yuansong Liao, John E. Moody",Constructing Heterogeneous Committees Using Input Feature Grouping: Application to Economic Forecasting
1705,1999,"Alfonso Renart, N?stor Parga, Edmund T. Rolls",A Recurrent Model of the Interaction Between Prefrontal and Inferotemporal Cortex in Delay Tasks
1706,1999,"Eric Mjolsness, Tobias Mann, Rebecca Casta?o, Barbara J. Wold",From Coexpression to Coregulation: An Approach to Inferring Transcriptional Regulation among Gene Classes from Large-Scale Expression Data
1707,1999,"Akaysha C. Tang, Barak A. Pearlmutter, Tim A. Hely, Michael Zibulevsky, Michael P. Weisend",An MEG Study of Response Latency and Variability in the Human Visual System During a Visual-Motor Integration Task
1708,1999,"Charles Lee Isbell Jr., Parry Husbands",The Parallel Problems Server: an Interactive Tool for Large Scale Machine Learning
1709,1999,Lars Kai Hansen,Bayesian Averaging is Well-Temperated
1710,1999,"Geoffrey E. Hinton, Zoubin Ghahramani, Yee Whye Teh",Learning to Parse Images
1711,1999,Peter Sollich,Probabilistic Methods for Support Vector Machines
1712,1999,"Thore Graepel, Ralf Herbrich, Klaus Obermayer",Bayesian Transduction
1713,1999,"Richard S. Sutton, David A. McAllester, Satinder P. Singh, Yishay Mansour",Policy Gradient Methods for Reinforcement Learning with Function Approximation
1714,1999,"Lucas C. Parra, Clay Spence, Paul Sajda, Andreas Ziehe, Klaus-Robert M?ller",Unmixing Hyperspectral Data
1715,1999,"Sebastian Mika, Gunnar R?tsch, Jason Weston, Bernhard Sch?lkopf, Alex J. Smola, Klaus-Robert M?ller",Invariant Feature Extraction and Classification in Kernel Spaces
1716,1999,Kevin P. Murphy,Bayesian Map Learning in Dynamic Environments
